Tool,FeasibilityTool,Project planningTool,DomainTool,ActivityTool,NeedsTool,QoS requirementsTool,UsersTool,Application developersTool,Runtime specificationTool,Development timeTool,User interactionTool,Source codeTool,Implicit specificationTool,Explicit specificationTool,User goal/requirement mappingTool,No specificationTool,DesignTool,Logic/process compositionTool,UI CustomisationTool,Automatic UI GenerationTool,Selecting & customising UITool,Visual UI compositionTool,Textual UI compositionTool,Advanced UI generationTool,Data compositionTool,Infinite compositionTool,Editable exampleTool,Textual DSL editorsTool,Textual DSLs in Dialog fieldsTool,Visual data flow languagesTool,Visual workflow/process oriented languagesTool,IconicTool,Scripting languageTool,Programming environmentTool,Story-based compositionTool,Collaborative compositionTool,Form-basedTool,Drag-and-dropTool,PbDTool,SpreadsheetsTool,Web Page customisationTool,Dialog-based wiring of widgetsTool,Live compositionTool,Select sections of compositionTool,Remove sections of compositionTool,Copy sections of compositionTool,Paste sections of compositionTool,Save sections of compositionTool,Execute sections of compositionTool,Select component in compositionTool,Copy component in compositionTool,Paste component in compositionTool,Activate/deactivate component in compositionTool,Insert component in compositionTool,Remove componentTool,Text-based searchTool,Search by function (description)Tool,Search by nameTool,Component-based search (i.e. search for Trigger or action)Tool,Search by technologyTool,Search by effectTool,Browsing composites by structural propertiesTool,Simple categorisation of componentsTool,Sub-categoriesTool,Manual groupingTool,Customisation of groupingTool,Group by locationTool,Group by costTool,Group by ratingTool,Group by recently usedTool,Grouping by service providerTool,Group by popularityTool,Group by ageTool,Group by typeTool,Group by functionTool,Group by network requirementTool,Group by featured/notTool,Filter by tagTool,Filter by nameTool,Basic browsing (list)Tool,Ranking alphabeticallyTool,Rank by popularityTool,Rank by ageTool,Context-specific suggestionsTool,Feature promptsTool,Suggestions of composites created by other usersTool,Suggestions based on matching componentsTool,Recommendations from friendsTool,Featured suggestionsTool,Components discoverableTool,Composites discoverableTool,Contextual discoveryTool,ScenarioTool,PerformanceTool,UsabilityTool,Debugging outputTool,Version controlTool,Real-time executionTool,Stepped executionTool,Test executionTool,Simulate testing of triggersTool,Test mode for componentsTool,Dummy test dataTool,Change Request ManagementTool,Automatic composite description generationTool,DeploymentTool,MonitoringTool,AdaptationTool,Request componentsTool,Notifications of new componentsTool,Update componentsTool,Favourite componentsTool,Duplicate component removalTool,Moderators for composite repositoryTool,Automatic composite managementTool,Execution confirmationTool,Enable composite executionTool,Disable composite executionTool,View execution historyTool,Save data from compositionTool,Auto-save draftsTool,View draftsTool,Code generationTool,CompilationTool,Web applicationTool,Standalone applicationTool,FileTool,External feedTool,Delayed executionTool,Instant/triggered executionTool,Execution timerTool,Change pricing planTool,View all available componentsTool,Active channelsTool,Add APITool,Create componentTool,Provide component wrapperTool,Add plug-insTool,User profilesTool,User usernameTool,User nicknameTool,User genderTool,User date of birthTool,User companyTool,User time zoneTool,User pointsTool,Connect social network accountsTool,Invite friendsTool,Number or composites remainingTool,Backup compositesTool,Restore compositesTool,Background notification on/offTool,Setting - location granularityTool,Setting - unitsTool,Setting - sampling ratesTool,Show tutorial on startupTool,Assign variablesTool,Tool enabledTool,Tool enable at startupTool,About toolTool,Rate tool
Atooma,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,1,,1,,,1,,,,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,1,1,,,,1,,1,,1,,,,,,
AutomateIt,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,1,,1,1,,,,1,,,,,,1,,,1,,1,,,1,,,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,1,1,,,,,,,,1,1,1,1,1,1,,1,1,,,,1,1,,1,1,1,,,1,1,1,1,
